station,channel,station_latitude,station_longitude,vs30_ms,Ml,epicentral_distance,hypocentral_distance,channel_pga_pct_g,channel_pgv_ms
BCE,ENE,39.6132,-110.4085,1010.0,3.1,185.19,185.26,0.00479442,0.0020356
BCE,ENN,39.6132,-110.4085,1010.0,3.1,185.19,185.26,0.00577861,0.00293179
BRPU,ENE,39.473,-110.74,234.0,3.1,162.44,162.51,0.00390644,0.00089201
BRPU,ENN,39.473,-110.74,234.0,3.1,162.44,162.51,0.00278946,0.00066986
MTPU,ENE,38.0415,-112.184,1010.0,3.1,93.58,93.71,0.0025358,0.00069524
MTPU,ENN,38.0415,-112.184,1010.0,3.1,93.58,93.71,0.00374981,0.00108938
PKCU,ENE,37.4438,-112.311,1010.0,3.1,124.24,124.34,0.0054883,0.00151877
PKCU,ENN,37.4438,-112.311,1010.0,3.1,124.24,124.34,0.0053119,0.00149608
SZCU,ENE,37.5953,-113.088,1460.0,3.1,180.34,180.41,0.00516059,0.00121358
SZCU,ENN,37.5953,-113.088,1460.0,3.1,180.34,180.41,0.00386309,0.00093456
ZNPU,ENE,37.3562,-113.125,1460.0,3.1,192.58,192.65,0.00311206,0.00135353
ZNPU,ENN,37.3562,-113.125,1460.0,3.1,192.58,192.65,0.0024273,0.00085951
7223,HNE,37.1003,-113.5656,234.0,3.3,10.66,12.81,0.2781987,0.03456397
7223,HNN,37.1003,-113.5656,234.0,3.3,10.66,12.81,0.651944,0.1362211
7224,HNE,37.6725,-113.0715,234.0,3.3,68.58,68.95,0.02426361,0.00611819
7224,HNN,37.6725,-113.0715,234.0,3.3,68.58,68.95,0.03116252,0.00798613
CCUT,HHE,37.5507,-113.363,2197.0,3.3,46.83,47.37,0.05358818,0.0109349
CCUT,HHN,37.5507,-113.363,2197.0,3.3,46.83,47.37,0.03936595,0.0078534
KNB,HHE,37.0167,-112.8223,1460.0,3.3,57.66,58.1,0.02093582,0.00464806
KNB,HHN,37.0167,-112.8223,1460.0,3.3,57.66,58.1,0.0339081,0.00702941
TCRU,HHE,38.6095,-112.447,1010.0,3.3,186.09,186.22,0.00120762,0.00031208
TCRU,HHN,38.6095,-112.447,1010.0,3.3,186.09,186.22,0.00148344,0.00029549
CCPU,ENE,37.666,-113.0882,1010.0,3.3,67.23,67.61,0.01439462,0.00282017
CCPU,ENN,37.666,-113.0882,1010.0,3.3,67.23,67.61,0.01838429,0.00348272
HHS,ENE,37.1738,-113.296,234.0,3.3,14.66,16.28,0.4446108,0.1117546
HHS,ENN,37.1738,-113.296,234.0,3.3,14.66,16.28,0.3772099,0.082086
LCMT,ENE,37.0118,-113.244,1460.0,3.3,23.12,24.19,1.562241,0.287046
LCMT,ENN,37.0118,-113.244,1460.0,3.3,23.12,24.19,1.054313,0.1183113
MTPU,ENE,38.0415,-112.184,1010.0,3.3,150.66,150.82,0.00233578,0.00069424
MTPU,ENN,38.0415,-112.184,1010.0,3.3,150.66,150.82,0.00375197,0.0007518
PKCU,ENE,37.4438,-112.311,1010.0,3.3,106.97,107.2,0.02574381,0.00857757
PKCU,ENN,37.4438,-112.311,1010.0,3.3,106.97,107.2,0.0313447,0.00773408
REUT,ENE,37.0977,-113.519,234.0,3.3,7.13,10.06,0.5798939,0.1464589
REUT,ENN,37.0977,-113.519,234.0,3.3,7.13,10.06,0.5637253,0.1426509
SCUT,ENE,37.1282,-113.6447,234.0,3.3,16.99,18.41,0.353683,0.08735847
SCUT,ENN,37.1282,-113.6447,234.0,3.3,16.99,18.41,0.305632,0.07038022
SGSU,ENE,38.2768,-112.6403,234.0,3.3,145.62,145.79,0.1280205,0.01941246
SGSU,ENN,38.2768,-112.6403,234.0,3.3,145.62,145.79,0.2728601,0.05035152
SZCU,ENE,37.5953,-113.088,1460.0,3.3,60.49,60.91,0.07326512,0.01028125
SZCU,ENN,37.5953,-113.088,1460.0,3.3,60.49,60.91,0.09455623,0.01261191
WDO,ENE,37.1077,-113.587,234.0,3.3,12.23,14.14,0.8268284,0.1321881
WDO,ENN,37.1077,-113.587,234.0,3.3,12.23,14.14,0.6137539,0.104961
ZNPU,ENE,37.3562,-113.125,1460.0,3.3,38.12,38.78,0.09007048,0.02015887
ZNPU,ENN,37.3562,-113.125,1460.0,3.3,38.12,38.78,0.07713722,0.02099433
HVU,HHE,41.7797,-112.775,2197.0,3.2,144.51,144.55,0.0053525,0.00278264
HVU,HHN,41.7797,-112.775,2197.0,3.2,144.51,144.55,0.00840711,0.00327608
7223,HNE,37.1003,-113.5656,234.0,4.1,72.38,72.69,0.06474362,0.01618448
7223,HNN,37.1003,-113.5656,234.0,4.1,72.38,72.69,0.04903655,0.01298197
7224,HNE,37.6725,-113.0715,234.0,4.1,8.68,11.03,1.615923,0.6359889
7224,HNN,37.6725,-113.0715,234.0,4.1,8.68,11.03,2.075401,0.6107568
CCUT,HHE,37.5507,-113.363,2197.0,4.1,29.13,29.91,0.1668049,0.05335989
CCUT,HHN,37.5507,-113.363,2197.0,4.1,29.13,29.91,0.1570432,0.05834651
BHUT,ENE,38.2768,-112.64,234.0,4.1,83.03,83.31,0.01642813,0.00698739
BHUT,ENN,38.2768,-112.64,234.0,4.1,83.03,83.31,0.0131334,0.0069828
CVH,ENE,37.7152,-113.064,234.0,4.1,13.12,14.78,3.681245,1.031854
CVH,ENN,37.7152,-113.064,234.0,4.1,13.12,14.78,2.899065,0.5974964
HHS,ENE,37.1738,-113.296,234.0,4.1,52.37,52.81,0.1773681,0.04916211
HHS,ENN,37.1738,-113.296,234.0,4.1,52.37,52.81,0.1293664,0.03833391
IAE,ENE,37.6652,-113.067,234.0,4.1,7.79,10.34,6.111309,0.9664585
IAE,ENN,37.6652,-113.067,234.0,4.1,7.79,10.34,4.785918,0.6215799
KEUT,ENE,37.0503,-112.529,234.0,4.1,75.8,76.11,0.1202791,0.03237084
KEUT,ENN,37.0503,-112.529,234.0,4.1,75.8,76.11,0.08539762,0.03178616
KNB,ENE,37.0167,-112.8223,1460.0,4.1,67.38,67.73,0.0611134,0.02316161
KNB,ENN,37.0167,-112.8223,1460.0,4.1,67.38,67.73,0.04042844,0.01200415
LCMT,ENE,37.0118,-113.244,1460.0,4.1,67.63,67.97,0.1343058,0.03634868
LCMT,ENN,37.0118,-113.244,1460.0,4.1,67.63,67.97,0.1256366,0.03162027
